公司名稱,職缺名稱,徵才網址,薪水區間,工作性質,工作地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具
能鉅科技有限公司,機器視覺工程師,http://www.104.com.tw/job/6635n?jobsource=2018indexpoc,"月薪 35,000~50,000元",全職,台中市北區中清路一段370號8樓之2,不需負擔管理責任,需出差，一年累積時間未定,日班,週休二日,可年後上班,1 人,上班族、應屆畢業生,2年以上,大學以上,電機電子工程相關、資訊工程相關、工程學科類,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,C#、Visual Basic .net
博暉科技股份有限公司,資產管理系統開發人才C#(AM),http://www.104.com.tw/job/5hw6w?jobsource=2018indexpoc,"月薪 33,000~60,000元",全職,台北市內湖區瑞光路478巷20號3樓 (內湖科技園區),不需負擔管理責任,無需出差外派,日班,週休二日,不限,1至3 人,上班族、應屆畢業生、二度就業,不拘,大學以上,商業及管理學科類、數學及電算機科學學科類,不拘,C#、MS SQL、MySQL、Oracle、PL/SQL
英屬維京群島商嘉碼科技有限公司台灣分公司,"賭場管理系統伺服器工程師(C,C++)(一)",http://www.104.com.tw/job/2ymy6?jobsource=2018indexpoc,"月薪 35,000~50,000元",全職,台中市西屯區工業三十八路210號3樓之6 (台中工業區),不需負擔管理責任,需出差，一年累積時間約一個月以下,日班，09:30~18:30,週休二日,一個月內,1 人,上班族、應屆畢業生,不拘,大學以上,不拘,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,不拘
今展科技股份有限公司,ERP資訊工程師(鼎新TIPTOP系統),http://www.104.com.tw/job/6uvar?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,新北市三重區重新路五段646號14樓(鄰近新莊IKEA及捷運先嗇宮2號出口),不需負擔管理責任,無需出差外派,日班，08:30~17:30,週休二日,一個月內,1 人,上班族、二度就業,3年以上,專科、大學、碩士,不拘,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,鼎新
網際威信股份有限公司,AI應用軟體開發工程師,http://www.104.com.tw/job/711tp?jobsource=2018indexpoc,"月薪 35,000元以上",全職,台北市內湖區港墘路200號7樓 (內湖科技園區),不需負擔管理責任,無需出差外派,日班,依公司規定,不限,3至6 人,上班族、應屆畢業生、研發替代役工作、原住民【相關法令】、二度就業、中壯齡(45~54歲),1年以上,大學以上,數理統計相關、資訊工程相關、其他數學及電算機科學相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
台灣現觀股份有限公司,Big Data Engineer,http://www.104.com.tw/job/6qf7v?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市中山區中山北路二段42號2樓,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班,週休二日,不限,1 人,上班族、應屆畢業生,1年以上,大學、碩士,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Shell、Java、Python、Database Administrator、Database Management、ETL、MySQL、OLAP、RDBMS、Data Architect
香港商俊思海外有限公司台灣分公司,Data Engineer (Lane Crawford Joyce Group),http://www.104.com.tw/job/70v0q?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市松山區敦化南路一段2號16樓,不需負擔管理責任,無需出差外派,日班,依公司規定,一個月內,1 人,上班族,2年以上,大學以上,資訊管理相關、數學及電算機科學學科類,英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通,Python、Hive、ETL
台灣安麗莎醫療器材科技股份有限公司,雲端工程師,http://www.104.com.tw/job/6zhht?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市南港區園區街3之2號10樓 (南港軟體工業園區),不需負擔管理責任,無需出差外派,日班,週休二日,一週內,1 人,上班族,不拘,大學以上,資訊工程相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
德利國際遊戲供應有限公司,歡迎加入我們行列-程式設計-無經驗可,http://www.104.com.tw/job/70s8r?jobsource=2018indexpoc,"月薪 30,000~35,000元",全職,台中市大里區福德路33巷5號,不需負擔管理責任,無需出差外派,日班，09:00~18:00,依公司規定,一週內,1至2 人,上班族、應屆畢業生,不拘,高中以上,不拘,不拘,不拘
鋐泰汽車零件股份有限公司,MIS專員/INTERNET程式設計專員,http://www.104.com.tw/job/67p92?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,桃園市桃園區富國路三段1118號,管理4人以下,需出差，一年累積時間約七個月以上,日班,週休二日,不限,1 人,上班族,3年以上,大學以上,資訊工程相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Linux、Windows Server 2008、Windows Server 2012、AJAX、ASP.NET、C#、Java、PHP
